ID;X;Y;Techno;operateur;dbm;Puissance recue
OP1_4G_92;566540;6691879;4G;OP1;-113;Moyenne
OP1_4G_93;567584;6690006;4G;OP1;-64;Bonne
OP1_4G_94;567444;6691830;4G;OP1;-106;Moyenne
OP1_4G_95;568541;6690804;4G;OP1;-26;Bonne
OP1_4G_96;568970;6689001;4G;OP1;-109;Moyenne
OP1_4G_97;562774;6692991;4G;OP1;-117;Mauvaise
OP1_4G_98;564221;6692636;4G;OP1;-131;Mauvaise
OP1_4G_99;564907;6693198;4G;OP1;-124;Mauvaise
OP1_4G_100;564182;6694170;4G;OP1;-114;Moyenne
OP1_4G_101;564786;6694642;4G;OP1;-101;Moyenne
OP1_4G_102;564826;6697661;4G;OP1;-58;Bonne
OP1_4G_103;564408;6698092;4G;OP1;-112;Moyenne
OP1_4G_104;566258;6697669;4G;OP1;-63;Bonne
OP1_4G_105;566642;6698850;4G;OP1;-124;Mauvaise
OP1_4G_106;563128;6699775;4G;OP1;-139;Mauvaise
OP1_4G_107;563006;6701154;4G;OP1;-113;Moyenne
OP1_4G_108;564978;6700113;4G;OP1;-101;Moyenne
OP1_4G_109;565177;6699726;4G;OP1;-105;Moyenne
OP1_4G_110;567177;6702056;4G;OP1;-27;Bonne
OP1_4G_111;569642;6693604;4G;OP1;-114;Moyenne
OP1_4G_112;569617;6696246;4G;OP1;-94;Bonne
OP1_4G_113;570262;6693982;4G;OP1;-20;Bonne
OP1_4G_114;568295;6703867;4G;OP1;-20;Bonne
OP1_4G_115;571400;6706469;4G;OP1;-139;Mauvaise
OP1_4G_116;571883;6704977;4G;OP1;-140;Mauvaise
OP1_4G_117;571915;6705318;4G;OP1;-96;Moyenne
OP1_4G_118;556679;6709509;4G;OP1;-44;Bonne
OP1_4G_119;556291;6710348;4G;OP1;-107;Moyenne
OP1_4G_120;557410;6710158;4G;OP1;-86;Bonne
OP1_4G_121;556895;6713616;4G;OP1;-56;Bonne
OP1_4G_122;556165;6714714;4G;OP1;-64;Bonne
OP1_4G_123;557407;6715934;4G;OP1;-120;Mauvaise
OP1_4G_124;557140;6719598;4G;OP1;-102;Moyenne
OP1_4G_125;559831;6710063;4G;OP1;-104;Moyenne
OP1_4G_126;560924;6708163;4G;OP1;-104;Moyenne
OP1_4G_127;562067;6712005;4G;OP1;-107;Moyenne
OP1_4G_128;560132;6716665;4G;OP1;-72;Bonne
OP1_4G_129;560345;6717125;4G;OP1;-45;Bonne
OP1_4G_130;558997;6718897;4G;OP1;-78;Bonne
OP1_4G_131;561587;6715058;4G;OP1;-134;Mauvaise
OP1_4G_132;561003;6718573;4G;OP1;-23;Bonne
OP1_4G_133;561235;6719054;4G;OP1;-96;Moyenne
OP1_4G_134;561486;6718370;4G;OP1;-96;Moyenne
OP1_4G_135;554285;6722935;4G;OP1;-137;Mauvaise
OP1_4G_136;554776;6722708;4G;OP1;-108;Moyenne
OP1_4G_137;556410;6723926;4G;OP1;-57;Bonne
OP1_4G_138;557261;6724041;4G;OP1;-30;Bonne
OP1_4G_139;555099;6734253;4G;OP1;-114;Moyenne
OP1_4G_140;557056;6729456;4G;OP1;-124;Mauvaise
OP1_4G_141;557033;6730844;4G;OP1;-99;Moyenne
OP1_4G_142;556244;6734663;4G;OP1;-55;Bonne
OP1_4G_143;559409;6722492;4G;OP1;-20;Bonne
OP1_4G_144;562875;6721995;4G;OP1;-35;Bonne
OP1_4G_145;562403;6726160;4G;OP1;-107;Moyenne
OP1_4G_146;562969;6727859;4G;OP1;-111;Moyenne
OP1_4G_147;559248;6729171;4G;OP1;-115;Moyenne
OP1_4G_148;560286;6732170;4G;OP1;-82;Bonne
OP1_4G_149;562419;6730269;4G;OP1;-115;Moyenne
OP1_4G_150;562634;6734155;4G;OP1;-66;Bonne
OP1_4G_151;564106;6709024;4G;OP1;-140;Mauvaise
OP1_4G_152;564237;6707623;4G;OP1;-119;Mauvaise
OP1_4G_153;564405;6709757;4G;OP1;-108;Moyenne
OP1_4G_154;567031;6709583;4G;OP1;-127;Mauvaise
OP1_4G_155;565604;6711892;4G;OP1;-113;Moyenne
OP1_4G_156;567539;6713230;4G;OP1;-111;Moyenne
OP1_4G_157;565360;6714674;4G;OP1;-114;Moyenne
OP1_4G_158;565021;6715506;4G;OP1;-61;Bonne
OP1_4G_159;565505;6716084;4G;OP1;-76;Bonne
OP1_4G_160;565762;6716373;4G;OP1;-103;Moyenne
OP1_4G_161;567592;6716284;4G;OP1;-58;Bonne
OP1_4G_162;567007;6721150;4G;OP1;-91;Bonne
OP1_4G_163;568642;6713095;4G;OP1;-113;Moyenne
OP1_4G_164;571458;6707738;4G;OP1;-36;Bonne
OP1_4G_165;571684;6712504;4G;OP1;-79;Bonne
OP1_4G_166;571722;6712951;4G;OP1;-49;Bonne
OP1_4G_167;572646;6712953;4G;OP1;-50;Bonne
OP1_4G_168;568145;6716447;4G;OP1;-114;Moyenne
OP1_4G_169;568962;6717382;4G;OP1;-123;Mauvaise
OP1_4G_170;569030;6718802;4G;OP1;-113;Moyenne
OP1_4G_171;571799;6714133;4G;OP1;-43;Bonne
OP1_4G_172;571966;6715645;4G;OP1;-43;Bonne
OP1_4G_173;570576;6721241;4G;OP1;-90;Bonne
OP1_4G_174;572069;6720023;4G;OP1;-70;Bonne
OP1_4G_175;572649;6720297;4G;OP1;-82;Bonne
OP1_4G_176;566321;6727548;4G;OP1;-38;Bonne
OP1_4G_177;567078;6726499;4G;OP1;-69;Bonne
OP1_4G_178;565957;6732290;4G;OP1;-91;Bonne
OP1_4G_179;568005;6731468;4G;OP1;-100;Moyenne
OP1_4G_180;565974;6732338;4G;OP1;-37;Bonne
OP1_4G_181;566402;6733594;4G;OP1;-21;Bonne
OP1_4G_182;568201;6733906;4G;OP1;-24;Bonne
OP1_4G_183;568807;6722767;4G;OP1;-110;Moyenne
OP1_4G_184;569831;6721694;4G;OP1;-67;Bonne
OP1_4G_185;569707;6722371;4G;OP1;-61;Bonne
OP1_4G_186;570351;6721318;4G;OP1;-21;Bonne
OP1_4G_187;569743;6723901;4G;OP1;-110;Moyenne
OP1_4G_188;569232;6732177;4G;OP1;-20;Bonne
OP1_4G_189;570427;6733759;4G;OP1;-52;Bonne
OP1_4G_190;572508;6680556;4G;OP1;-117;Mauvaise
OP1_4G_191;573558;6684648;4G;OP1;-97;Moyenne
OP1_4G_192;576552;6679799;4G;OP1;-104;Moyenne
OP1_4G_193;576927;6679691;4G;OP1;-106;Moyenne
OP1_4G_194;575104;6684217;4G;OP1;-40;Bonne
OP1_4G_195;575431;6683233;4G;OP1;-42;Bonne
OP1_4G_196;576361;6682620;4G;OP1;-107;Moyenne
OP1_4G_197;574472;6686044;4G;OP1;-112;Moyenne
OP1_4G_198;573715;6686628;4G;OP1;-130;Mauvaise
OP1_4G_199;573672;6690444;4G;OP1;-138;Mauvaise
OP1_4G_200;575638;6686369;4G;OP1;-78;Bonne
OP1_4G_201;575989;6686857;4G;OP1;-75;Bonne
OP1_4G_202;576608;6688165;4G;OP1;-47;Bonne
OP1_4G_203;575270;6688562;4G;OP1;-117;Mauvaise
OP1_4G_204;576839;6689857;4G;OP1;-91;Bonne
OP1_4G_205;577928;6685722;4G;OP1;-108;Moyenne
OP1_4G_206;572998;6705107;4G;OP1;-44;Bonne
OP1_4G_207;574994;6704350;4G;OP1;-86;Bonne
OP1_4G_208;576733;6699365;4G;OP1;-134;Mauvaise
OP1_4G_209;577459;6706247;4G;OP1;-114;Moyenne
OP1_4G_210;577817;6693956;4G;OP1;-105;Moyenne
OP1_4G_211;577938;6697598;4G;OP1;-129;Mauvaise
OP1_4G_212;580865;6694344;4G;OP1;-55;Bonne
OP1_4G_213;578944;6706059;4G;OP1;-103;Moyenne
OP1_4G_214;581498;6701533;4G;OP1;-97;Moyenne
OP1_4G_215;581486;6703360;4G;OP1;-111;Moyenne
OP1_4G_216;582216;6702976;4G;OP1;-28;Bonne
OP1_4G_217;583775;6685826;4G;OP1;-30;Bonne
OP1_4G_218;585685;6688656;4G;OP1;-43;Bonne
OP1_4G_219;586365;6688527;4G;OP1;-60;Bonne
OP1_4G_220;587879;6682384;4G;OP1;-137;Mauvaise
OP1_4G_221;589213;6686125;4G;OP1;-112;Moyenne
OP1_4G_222;590642;6689146;4G;OP1;-111;Moyenne
OP1_4G_223;586484;6695360;4G;OP1;-71;Bonne
OP1_4G_224;585440;6695992;4G;OP1;-114;Moyenne
OP1_4G_225;583481;6702508;4G;OP1;-25;Bonne
OP1_4G_226;583925;6703406;4G;OP1;-73;Bonne
OP1_4G_227;584541;6705117;4G;OP1;-127;Mauvaise
OP1_4G_228;585481;6702075;4G;OP1;-100;Moyenne
OP1_4G_229;585866;6706332;4G;OP1;-87;Bonne
OP1_4G_230;588885;6695877;4G;OP1;-56;Bonne
OP1_4G_231;588345;6701545;4G;OP1;-101;Moyenne
OP1_4G_232;589022;6700562;4G;OP1;-96;Moyenne
OP1_4G_233;589542;6702564;4G;OP1;-46;Bonne
OP1_4G_234;587928;6704120;4G;OP1;-100;Moyenne
OP1_4G_235;589754;6704435;4G;OP1;-50;Bonne
OP1_4G_236;591378;6702335;4G;OP1;-54;Bonne
OP1_4G_237;592217;6701494;4G;OP1;-49;Bonne
OP1_4G_238;573733;6707093;4G;OP1;-108;Moyenne
OP1_4G_239;573871;6707013;4G;OP1;-108;Moyenne
OP1_4G_240;574429;6707227;4G;OP1;-114;Moyenne
OP1_4G_241;573153;6711186;4G;OP1;-101;Moyenne
OP1_4G_242;573558;6710599;4G;OP1;-135;Mauvaise
OP1_4G_243;573887;6713033;4G;OP1;-98;Moyenne
OP1_4G_244;577187;6708814;4G;OP1;-114;Moyenne
OP1_4G_245;577378;6712020;4G;OP1;-46;Bonne
OP1_4G_246;573126;6717157;4G;OP1;-107;Moyenne
OP1_4G_247;577034;6717255;4G;OP1;-116;Mauvaise
OP1_4G_248;576749;6720495;4G;OP1;-43;Bonne
OP1_4G_249;578272;6707993;4G;OP1;-105;Moyenne
OP1_4G_250;582507;6708705;4G;OP1;-42;Bonne
OP1_4G_251;582332;6714792;4G;OP1;-117;Mauvaise
OP1_4G_252;582506;6719282;4G;OP1;-119;Mauvaise
OP1_4G_253;573494;6721962;4G;OP1;-26;Bonne
OP1_4G_254;573624;6724210;4G;OP1;-58;Bonne
OP1_4G_255;574835;6725065;4G;OP1;-38;Bonne
OP1_4G_256;576771;6724098;4G;OP1;-76;Bonne
OP1_4G_257;576931;6722609;4G;OP1;-50;Bonne
OP1_4G_258;576974;6724121;4G;OP1;-95;Bonne
OP1_4G_259;575621;6725901;4G;OP1;-58;Bonne
OP1_4G_260;577604;6725098;4G;OP1;-82;Bonne
OP1_4G_261;574574;6731474;4G;OP1;-111;Moyenne
OP1_4G_262;574237;6734592;4G;OP1;-125;Mauvaise
OP1_4G_263;575119;6735098;4G;OP1;-136;Mauvaise
OP1_4G_264;578260;6724695;4G;OP1;-68;Bonne
OP1_4G_265;578633;6723732;4G;OP1;-106;Moyenne
OP1_4G_266;580136;6722589;4G;OP1;-65;Bonne
OP1_4G_267;579510;6723316;4G;OP1;-93;Bonne
OP1_4G_268;580539;6723647;4G;OP1;-106;Moyenne
OP1_4G_269;579467;6735315;4G;OP1;-116;Mauvaise
OP1_4G_270;582238;6729526;4G;OP1;-92;Bonne
OP1_4G_271;581238;6735019;4G;OP1;-104;Moyenne
OP1_4G_272;583526;6706596;4G;OP1;-110;Moyenne
OP1_4G_273;584866;6708559;4G;OP1;-115;Moyenne
OP1_4G_274;585579;6713210;4G;OP1;-86;Bonne
OP1_4G_275;583427;6714471;4G;OP1;-82;Bonne
OP1_4G_276;583781;6713737;4G;OP1;-33;Bonne
OP1_4G_277;584886;6713722;4G;OP1;-77;Bonne
OP1_4G_278;583273;6717863;4G;OP1;-113;Moyenne
OP1_4G_279;584004;6719034;4G;OP1;-87;Bonne
OP1_4G_280;584710;6718498;4G;OP1;-66;Bonne
OP1_4G_281;586366;6714552;4G;OP1;-98;Moyenne
OP1_4G_282;586482;6717669;4G;OP1;-141;Mauvaise
OP1_4G_283;585997;6720842;4G;OP1;-105;Moyenne
OP1_4G_284;590045;6708416;4G;OP1;-94;Bonne
OP1_4G_285;583330;6723706;4G;OP1;-51;Bonne
OP1_4G_286;584060;6723347;4G;OP1;-58;Bonne
OP1_4G_287;584506;6724583;4G;OP1;-108;Moyenne
OP1_4G_288;584839;6726058;4G;OP1;-130;Mauvaise
OP1_4G_289;587177;6723969;4G;OP1;-75;Bonne
OP1_4G_290;587569;6734842;4G;OP1;-62;Bonne
OP1_4G_291;589300;6730290;4G;OP1;-133;Mauvaise
OP1_4G_292;588785;6733160;4G;OP1;-113;Moyenne
OP1_4G_293;590176;6735328;4G;OP1;-112;Moyenne
OP1_4G_294;590184;6735243;4G;OP1;-101;Moyenne
OP1_4G_295;590258;6734892;4G;OP1;-115;Moyenne
OP1_4G_296;554736;6743097;4G;OP1;-24;Bonne
OP1_4G_297;556279;6741885;4G;OP1;-104;Moyenne
OP1_4G_298;555026;6745089;4G;OP1;-59;Bonne
OP1_4G_299;555824;6747536;4G;OP1;-65;Bonne
OP1_4G_300;555917;6747389;4G;OP1;-33;Bonne
OP1_4G_301;557303;6745534;4G;OP1;-67;Bonne
OP1_4G_302;558929;6742991;4G;OP1;-127;Mauvaise
OP1_4G_303;562659;6742829;4G;OP1;-51;Bonne
OP1_4G_304;560500;6747363;4G;OP1;-135;Mauvaise
OP1_4G_305;560263;6748991;4G;OP1;-100;Moyenne
OP1_4G_306;562801;6743811;4G;OP1;-85;Bonne
OP1_4G_307;562498;6747545;4G;OP1;-108;Moyenne
OP1_4G_308;556151;6757104;4G;OP1;-91;Bonne
OP1_4G_309;556123;6759198;4G;OP1;-53;Bonne
OP1_4G_310;561272;6752470;4G;OP1;-39;Bonne
OP1_4G_311;561482;6751808;4G;OP1;-90;Bonne
OP1_4G_312;559695;6759126;4G;OP1;-104;Moyenne
OP1_4G_313;567957;6741894;4G;OP1;-112;Moyenne
OP1_4G_314;569220;6739236;4G;OP1;-65;Bonne
OP1_4G_315;570024;6740856;4G;OP1;-113;Moyenne
OP1_4G_316;571216;6738104;4G;OP1;-24;Bonne
OP1_4G_317;570571;6748147;4G;OP1;-80;Bonne
OP1_4G_318;571646;6743734;4G;OP1;-108;Moyenne
OP1_4G_319;573157;6743246;4G;OP1;-38;Bonne
OP1_4G_320;572138;6748503;4G;OP1;-68;Bonne
OP1_4G_321;564132;6750919;4G;OP1;-20;Bonne
OP1_4G_322;566889;6753942;4G;OP1;-107;Moyenne
OP1_4G_323;568015;6752147;4G;OP1;-110;Moyenne
OP1_4G_324;565173;6760218;4G;OP1;-48;Bonne
OP1_4G_325;569766;6751434;4G;OP1;-104;Moyenne
OP1_4G_326;570953;6762807;4G;OP1;-98;Moyenne
OP1_4G_327;557770;6771673;4G;OP1;-56;Bonne
OP1_4G_328;558631;6771303;4G;OP1;-102;Moyenne
OP1_4G_329;559194;6771479;4G;OP1;-102;Moyenne
OP1_4G_330;556075;6775914;4G;OP1;-139;Mauvaise
OP1_4G_331;554940;6776394;4G;OP1;-108;Moyenne
OP1_4G_332;557308;6772813;4G;OP1;-53;Bonne
OP1_4G_333;561162;6766008;4G;OP1;-55;Bonne
OP1_4G_334;561598;6766218;4G;OP1;-52;Bonne
OP1_4G_335;561806;6770700;4G;OP1;-103;Moyenne
OP1_4G_336;574106;6737424;4G;OP1;-110;Moyenne
OP1_4G_337;575556;6742286;4G;OP1;-70;Bonne
OP1_4G_338;575823;6746960;4G;OP1;-115;Moyenne
OP1_4G_339;577804;6744461;4G;OP1;-99;Moyenne
OP1_4G_340;579020;6737200;4G;OP1;-135;Mauvaise
OP1_4G_341;579195;6738123;4G;OP1;-125;Mauvaise
OP1_4G_342;580171;6738825;4G;OP1;-132;Mauvaise
OP1_4G_343;577576;6753655;4G;OP1;-135;Mauvaise
OP1_4G_344;576705;6760635;4G;OP1;-122;Mauvaise
OP1_4G_345;577388;6759882;4G;OP1;-137;Mauvaise
OP1_4G_346;578771;6751641;4G;OP1;-103;Moyenne
OP1_4G_347;582971;6757127;4G;OP1;-112;Moyenne
OP1_4G_348;583484;6760494;4G;OP1;-64;Bonne
OP1_4G_349;582403;6762837;4G;OP1;-74;Bonne
OP1_4G_350;584979;6735868;4G;OP1;-127;Mauvaise
OP1_4G_351;585515;6736429;4G;OP1;-118;Mauvaise
OP1_4G_352;585412;6737802;4G;OP1;-141;Mauvaise
OP1_4G_353;584947;6741603;4G;OP1;-130;Mauvaise
OP1_4G_354;586290;6736527;4G;OP1;-111;Moyenne
OP1_4G_355;586159;6737611;4G;OP1;-110;Moyenne
OP1_4G_356;587002;6736158;4G;OP1;-110;Moyenne
OP1_4G_357;585872;6739397;4G;OP1;-123;Mauvaise
OP1_4G_358;583559;6745754;4G;OP1;-106;Moyenne
OP1_4G_359;584093;6748916;4G;OP1;-110;Moyenne
OP1_4G_360;589899;6738575;4G;OP1;-102;Moyenne
OP1_4G_361;590587;6741295;4G;OP1;-135;Mauvaise
OP1_4G_362;591965;6742647;4G;OP1;-133;Mauvaise
OP1_4G_363;588876;6746386;4G;OP1;-35;Bonne
OP1_4G_364;587018;6755530;4G;OP1;-114;Moyenne
OP1_4G_365;586879;6758954;4G;OP1;-115;Moyenne
OP1_4G_366;587598;6761184;4G;OP1;-112;Moyenne
OP1_4G_367;587806;6763273;4G;OP1;-122;Mauvaise
OP1_4G_368;589493;6753586;4G;OP1;-113;Moyenne
OP1_4G_369;592907;6751467;4G;OP1;-124;Mauvaise
OP1_4G_370;592677;6753232;4G;OP1;-128;Mauvaise
OP1_4G_371;589622;6757707;4G;OP1;-24;Bonne
OP1_4G_372;590517;6763488;4G;OP1;-117;Mauvaise
OP1_4G_373;591825;6758068;4G;OP1;-66;Bonne
OP1_4G_374;584397;6767928;4G;OP1;-127;Mauvaise
OP1_4G_375;591526;6765002;4G;OP1;-121;Mauvaise
OP1_4G_376;592838;6685871;4G;OP1;-96;Moyenne
OP1_4G_377;592235;6687105;4G;OP1;-43;Bonne
OP1_4G_378;594021;6687708;4G;OP1;-104;Moyenne
OP1_4G_379;592610;6688545;4G;OP1;-82;Bonne
OP1_4G_380;592453;6689708;4G;OP1;-109;Moyenne
OP1_4G_381;599016;6687446;4G;OP1;-86;Bonne
OP1_4G_382;601868;6686445;4G;OP1;-77;Bonne
OP1_4G_383;592897;6704815;4G;OP1;-38;Bonne
OP1_4G_384;595842;6699033;4G;OP1;-108;Moyenne
OP1_4G_385;596780;6701521;4G;OP1;-43;Bonne
OP1_4G_386;598395;6698617;4G;OP1;-48;Bonne
OP1_4G_387;599587;6696564;4G;OP1;-56;Bonne
OP1_4G_388;601884;6695111;4G;OP1;-105;Moyenne
OP1_4G_389;597474;6699210;4G;OP1;-52;Bonne
OP1_4G_390;598439;6700373;4G;OP1;-38;Bonne
OP1_4G_391;599039;6701610;4G;OP1;-22;Bonne
OP1_4G_392;599554;6701743;4G;OP1;-90;Bonne
OP1_4G_393;603361;6687095;4G;OP1;-114;Moyenne
OP1_4G_394;603915;6690083;4G;OP1;-115;Moyenne
OP1_4G_395;606332;6689967;4G;OP1;-52;Bonne
OP1_4G_396;607655;6690078;4G;OP1;-45;Bonne
OP1_4G_397;607803;6690487;4G;OP1;-91;Bonne
OP1_4G_398;603211;6694385;4G;OP1;-104;Moyenne
OP1_4G_399;602893;6696981;4G;OP1;-114;Moyenne
OP1_4G_400;604348;6695584;4G;OP1;-73;Bonne
OP1_4G_401;605018;6694604;4G;OP1;-58;Bonne
OP1_4G_402;606104;6693790;4G;OP1;-47;Bonne
OP1_4G_403;606190;6693453;4G;OP1;-25;Bonne
OP1_4G_404;606333;6693315;4G;OP1;-105;Moyenne
OP1_4G_405;606337;6694810;4G;OP1;-77;Bonne
OP1_4G_406;605498;6697069;4G;OP1;-63;Bonne
OP1_4G_407;606365;6696609;4G;OP1;-50;Bonne
OP1_4G_408;606521;6697062;4G;OP1;-96;Moyenne
OP1_4G_409;606537;6698123;4G;OP1;-98;Moyenne
OP1_4G_410;607487;6698684;4G;OP1;-38;Bonne
OP1_4G_411;610300;6696867;4G;OP1;-73;Bonne
OP1_4G_412;611585;6697502;4G;OP1;-39;Bonne
OP1_4G_413;611942;6697733;4G;OP1;-37;Bonne
OP1_4G_414;611074;6701899;4G;OP1;-89;Bonne
OP1_4G_415;593469;6706425;4G;OP1;-92;Bonne
OP1_4G_416;592762;6710972;4G;OP1;-96;Moyenne
OP1_4G_417;595877;6709608;4G;OP1;-81;Bonne
OP1_4G_418;596202;6706288;4G;OP1;-66;Bonne
OP1_4G_419;596330;6706468;4G;OP1;-88;Bonne
OP1_4G_420;595085;6711901;4G;OP1;-103;Moyenne
OP1_4G_421;598577;6710026;4G;OP1;-75;Bonne
OP1_4G_422;598797;6711171;4G;OP1;-70;Bonne
OP1_4G_423;598662;6714726;4G;OP1;-81;Bonne
OP1_4G_424;599317;6716022;4G;OP1;-106;Moyenne
OP1_4G_425;600853;6720141;4G;OP1;-45;Bonne
OP1_4G_426;593353;6726894;4G;OP1;-66;Bonne
OP1_4G_427;594592;6724804;4G;OP1;-72;Bonne
OP1_4G_428;594396;6725887;4G;OP1;-69;Bonne
OP1_4G_429;593923;6734896;4G;OP1;-48;Bonne
OP1_4G_430;595175;6734492;4G;OP1;-58;Bonne
OP1_4G_431;596736;6734275;4G;OP1;-103;Moyenne
OP1_4G_432;598783;6721827;4G;OP1;-43;Bonne
OP1_4G_433;598433;6726815;4G;OP1;-36;Bonne
OP1_4G_434;601967;6724018;4G;OP1;-108;Moyenne
OP1_4G_435;600780;6725136;4G;OP1;-105;Moyenne
OP1_4G_436;600683;6728255;4G;OP1;-75;Bonne
OP1_4G_437;602931;6706343;4G;OP1;-96;Moyenne
OP1_4G_438;603334;6711650;4G;OP1;-26;Bonne
OP1_4G_439;603213;6713020;4G;OP1;-95;Bonne
OP1_4G_440;603089;6714729;4G;OP1;-66;Bonne
